Dane;symbol_ty;symbol;nazwa
KDA powiat d¹browski;4;KDA;powiat d¹browski
KGR powiat gorlicki;4;KGR;powiat gorlicki
KRA powiat krakowski;4;KRA;powiat krakowski
KLI powiat limanowski;4;KLI;powiat limanowski
KMI powiat miechowski;4;KMI;powiat miechowski
KMY powiat myœlenicki;4;KMY;powiat myœlenicki
KNS powiat nowos¹decki;4;KNS;powiat nowos¹decki
KNT powiat nowotarski;4;KNT;powiat nowotarski
KOL powiat olkuski;4;KOL;powiat olkuski
KOS powiat oœwiêcimski;4;KOS;powiat oœwiêcimski
KPR powiat proszowicki;4;KPR;powiat proszowicki
KSU powiat suski;4;KSU;powiat suski
KTA powiat tarnowski;4;KTA;powiat tarnowski
KTT powiat tatrzañski;4;KTT;powiat tatrzañski
KWA powiat wadowicki;4;KWA;powiat wadowicki
KWI powiat wielicki;4;KWI;powiat wielicki
LB Bia³a Podlaska;3;LB;Bia³a Podlaska
LC Che³m;3;LC;Che³m
LU Lublin;3;LU;Lublin
LZ Zamoœæ;3;LZ;Zamoœæ
LBI powiat bialski;4;LBI;powiat bialski
LBL powiat bi³gorajski;4;LBL;powiat bi³gorajski
LCH powiat che³mski;4;LCH;powiat che³mski
LHR powiat hrubieszowski;4;LHR;powiat hrubieszowski
LJA powiat janowski;4;LJA;powiat janowski
LKR powiat kraœnicki;4;LKR;powiat kraœnicki
LKS powiat krasnostawski;4;LKS;powiat krasnostawski
LLB powiat lubartowski;4;LLB;powiat lubartowski
LUB powiat lubelski;4;LUB;powiat lubelski
LOP powiat opolski;4;LOP;powiat opolski
LPA powiat parczewski;4;LPA;powiat parczewski
LPU powiat pu³awski;4;LPU;powiat pu³awski
LRA powiat radzyñski;4;LRA;powiat radzyñski
LRY powiat rycki;4;LRY;powiat rycki
LSW powiat œwidnicki;4;LSW;powiat œwidnicki
LTM powiat tomaszowski;4;LTM;powiat tomaszowski
LWL powiat w³odawski;4;LWL;powiat w³odawski
LZA powiat zamojski;4;LZA;powiat zamojski
LLE powiat ³êczyñski;4;LLE;powiat ³êczyñski
LLU powiat ³ukowski;4;LLU;powiat ³ukowski
NE Elbl¹g;3;NE;Elbl¹g
NO Olsztyn;3;NO;Olsztyn
NBA powiat bartoszycki;4;NBA;powiat bartoszycki
NBR powiat braniewski;4;NBR;powiat braniewski
NDZ powiat dzia³dowski;4;NDZ;powiat dzia³dowski
NEB powiat elbl¹ski;4;NEB;powiat elbl¹ski
NEL powiat e³cki;4;NEL;powiat e³cki
NGI powiat gi¿ycki;4;NGI;powiat gi¿ycki
NGO powiat go³dapski;4;NGO;powiat go³dapski
NIL powiat i³awski;4;NIL;powiat i³awski
NKE powiat kêtrzyñski;4;NKE;powiat kêtrzyñski
NLI powiat lidzbarski;4;NLI;powiat lidzbarski
NMR powiat mr¹gowski;4;NMR;powiat mr¹gowski
NNI powiat nidzicki;4;NNI;powiat nidzicki
NNM powiat nowomiejski;4;NNM;powiat nowomiejski
NOE powiat olecki;4;NOE;powiat olecki
NOL powiat olsztyñski;4;NOL;powiat olsztyñski
NOS powiat ostródzki;4;NOS;powiat ostródzki
NPI powiat piski;4;NPI;powiat piski
NSZ powiat szczycieñski;4;NSZ;powiat szczycieñski
NWE powiat wêgorzewski;4;NWE;powiat wêgorzewski
OP Opole;3;OP;Opole
OB powiat brzeski;3;OB;powiat brzeski
OGL powiat g³ubczycki;4;OGL;powiat g³ubczycki
OK powiat kêdzierzyñsko-kozielski;3;OK;powiat kêdzierzyñsko-kozielski
OKL powiat kluczborski;4;OKL;powiat kluczborski
OKR powiat krapkowicki;4;OKR;powiat krapkowicki
ONA powiat namys³owski;4;ONA;powiat namys³owski
ONY powiat nyski;4;ONY;powiat nyski
OOL powiat oleski;4;OOL;powiat oleski
OPO powiat opolski;4;OPO;powiat opolski
OPR powiat prudnicki;4;OPR;powiat prudnicki
OST powiat strzelecki;4;OST;powiat strzelecki
PK Kalisz;3;PK;Kalisz
PN Konin;3;PN;Konin
PL Leszno;3;PL;Leszno
PO Poznañ;3;PO;Poznañ
PY Poznañ;3;PY;Poznañ
PCH powiat chodzieski;4;PCH;powiat chodzieski
PCT powiat czarnkowsko-trzcianecki;4;PCT;powiat czarnkowsko-trzcianecki
PGN powiat gnieŸnieñski;4;PGN;powiat gnieŸnieñski
PGS powiat gostyñski;4;PGS;powiat gostyñski
PGO powiat grodziski;4;PGO;powiat grodziski
PJA powiat jarociñski;4;PJA;powiat jarociñski
PKA powiat kaliski;4;PKA;powiat kaliski
PKE powiat kêpiñski;4;PKE;powiat kêpiñski
PKL powiat kolski;4;PKL;powiat kolski
PKN powiat koniñski;4;PKN;powiat koniñski
PKS powiat koœciañski;4;PKS;powiat koœciañski
PKR powiat krotoszyñski;4;PKR;powiat krotoszyñski
PLE powiat leszczyñski;4;PLE;powiat leszczyñski
PMI powiat miêdzychodzki;4;PMI;powiat miêdzychodzki
PNT powiat nowotomyski;4;PNT;powiat nowotomyski
POB powiat obornicki;4;POB;powiat obornicki
